resolution,timestamp,actual_x,actual_y,keystone_x,keystone_y,keystone_z,error_x,error_y
16x16,2026-04-15 11:03:37,-30.0,0.0,-28.1657,1.7463,61.7704,1.8343,1.7463
16x16,2026-04-15 11:03:37,-30.0,0.0,-27.9008,1.8376,62.0280,2.0992,1.8376
16x16,2026-04-15 11:03:38,-30.0,0.0,-28.0328,1.5239,61.9184,1.9672,1.5239
16x16,2026-04-15 11:03:38,-30.0,0.0,-28.1880,1.5958,61.7587,1.8120,1.5958
16x16,2026-04-15 11:03:38,-30.0,0.0,-28.0342,1.5305,61.9166,1.9658,1.5305
16x16,2026-04-15 11:03:39,-30.0,0.0,-27.8314,1.6723,62.1095,2.1686,1.6723
16x16,2026-04-15 11:03:39,-30.0,0.0,-27.9846,1.4827,61.9692,2.0154,1.4827
16x16,2026-04-15 11:03:40,-30.0,0.0,-27.7284,1.6278,62.2155,2.2716,1.6278
16x16,2026-04-15 11:03:40,-30.0,0.0,-27.9549,1.8722,61.9713,2.0451,1.8722
16x16,2026-04-15 11:03:40,-30.0,0.0,-28.0661,1.8285,61.8638,1.9339,1.8285
16x16,2026-04-15 11:03:48,-29.0,0.0,-27.1049,1.5869,62.8410,1.8951,1.5869
16x16,2026-04-15 11:03:48,-29.0,0.0,-26.9353,1.6733,63.0042,2.0647,1.6733
16x16,2026-04-15 11:03:49,-29.0,0.0,-27.1591,1.7842,62.7726,1.8409,1.7842
16x16,2026-04-15 11:03:49,-29.0,0.0,-26.8872,1.8885,63.0357,2.1128,1.8885
16x16,2026-04-15 11:03:49,-29.0,0.0,-26.9174,1.7200,63.0187,2.0826,1.7200
16x16,2026-04-15 11:03:50,-29.0,0.0,-26.9627,1.6384,62.9794,2.0373,1.6384
16x16,2026-04-15 11:03:50,-29.0,0.0,-26.7792,1.7141,63.1572,2.2208,1.7141
16x16,2026-04-15 11:03:51,-29.0,0.0,-26.8782,1.6177,63.0652,2.1218,1.6177
16x16,2026-04-15 11:03:51,-29.0,0.0,-26.9840,1.5587,62.9636,2.0160,1.5587
16x16,2026-04-15 11:03:51,-29.0,0.0,-27.0012,1.6598,62.9394,1.9988,1.6598
16x16,2026-04-15 11:03:59,-28.0,0.0,-26.2717,1.2590,63.6935,1.7283,1.2590
16x16,2026-04-15 11:03:59,-28.0,0.0,-26.1279,1.7406,63.8053,1.8721,1.7406
16x16,2026-04-15 11:03:59,-28.0,0.0,-25.9734,1.6777,63.9643,2.0266,1.6777
16x16,2026-04-15 11:04:00,-28.0,0.0,-26.4009,1.6952,63.5362,1.5991,1.6952
16x16,2026-04-15 11:04:00,-28.0,0.0,-26.2784,1.5334,63.6700,1.7216,1.5334
16x16,2026-04-15 11:04:01,-28.0,0.0,-26.3316,1.5713,63.6143,1.6684,1.5713
16x16,2026-04-15 11:04:01,-28.0,0.0,-26.0782,1.9200,63.8405,1.9218,1.9200
16x16,2026-04-15 11:04:01,-28.0,0.0,-26.0608,1.8474,63.8639,1.9392,1.8474
16x16,2026-04-15 11:04:02,-28.0,0.0,-26.1963,1.5457,63.7512,1.8037,1.5457
16x16,2026-04-15 11:04:02,-28.0,0.0,-26.1710,1.5150,63.7784,1.8290,1.5150
16x16,2026-04-15 11:04:10,-27.0,0.0,-25.4516,1.7091,64.4828,1.5484,1.7091
16x16,2026-04-15 11:04:10,-27.0,0.0,-25.4068,1.3328,64.5532,1.5932,1.3328
16x16,2026-04-15 11:04:10,-27.0,0.0,-25.0217,1.5933,64.9206,1.9783,1.5933
16x16,2026-04-15 11:04:11,-27.0,0.0,-25.0256,1.8272,64.8985,1.9744,1.8272
16x16,2026-04-15 11:04:11,-27.0,0.0,-25.2497,1.5667,64.6948,1.7503,1.5667
16x16,2026-04-15 11:04:12,-27.0,0.0,-25.1640,1.8224,64.7608,1.8360,1.8224
16x16,2026-04-15 11:04:12,-27.0,0.0,-25.2881,1.6244,64.6523,1.7119,1.6244
16x16,2026-04-15 11:04:12,-27.0,0.0,-25.2387,1.6880,64.6969,1.7613,1.6880
16x16,2026-04-15 11:04:13,-27.0,0.0,-25.1697,1.6345,64.7698,1.8303,1.6345
16x16,2026-04-15 11:04:13,-27.0,0.0,-25.1248,1.4800,64.8255,1.8752,1.4800
16x16,2026-04-15 11:04:21,-26.0,0.0,-24.1548,1.9270,65.7586,1.8452,1.9270
16x16,2026-04-15 11:04:21,-26.0,0.0,-24.1314,1.6826,65.8025,1.8686,1.6826
16x16,2026-04-15 11:04:21,-26.0,0.0,-24.0627,1.6522,65.8734,1.9373,1.6522
16x16,2026-04-15 11:04:22,-26.0,0.0,-24.2226,1.6378,65.7149,1.7774,1.6378
16x16,2026-04-15 11:04:22,-26.0,0.0,-24.3648,2.0275,65.5400,1.6352,2.0275
16x16,2026-04-15 11:04:23,-26.0,0.0,-24.2257,1.6674,65.7095,1.7743,1.6674
16x16,2026-04-15 11:04:23,-26.0,0.0,-24.3907,1.7490,65.5384,1.6093,1.7490
